Scheme Name, Net Asset Value
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW, 10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW, 12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth, 25.4756
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option, 12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW, 10.2245
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW, 15.0961
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW, 10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW, 10.2243
ICICI Prudential Corporate Bond Fund - Growth, 24.4609
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option, 12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW, 10.3792
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend, 10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend, 10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW, 10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW, 10.9193
ICICI Prudential Corporate Bond Fund Retail Daily Dividend, 10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend, 10.3041
ICICI Prudential Corporate Bond Fund Retail Growth, 22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend, 10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend, 10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend, 10.2202
IDFC Corporate Bond Fund - Direct Annual IDCW, 10.2792
IDFC Corporate Bond Fund - Direct Growth, 16.2624
IDFC Corporate Bond Fund - Direct Half Yearly IDCW, 11.4476
IDFC Corporate Bond Fund - Direct Monthly IDCW, 10.3426
IDFC Corporate Bond Fund - Direct Periodic IDCW, 10.7891
IDFC Corporate Bond Fund - Direct Quarterly IDCW, 10.4445
IDFC Corporate Bond Fund - Regular Annual IDCW, 10.2554
IDFC Corporate Bond Fund - Regular Growth, 15.9204
IDFC Corporate Bond Fund - Regular Half Yearly IDCW, 10.8571
IDFC Corporate Bond Fund - Regular Monthly IDCW, 10.5961
IDFC Corporate Bond Fund - Regular Periodic IDCW, 10.7324
IDFC Corporate Bond Fund - Regular Quarterly IDCW, 10.4871
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment), 1906.7739
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment), 1240.4665
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment), 2785.3289
Invesco India Corporate Bond Fund - Direct Plan - Growth, 2784.4454
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment), 1256.1208
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment), 1156.008
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment), 2753.9152
Invesco India Corporate Bond Fund - Growth, 2623.8698
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment), 1503.9157
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment), 1153.8997
Kotak Coporate Bond Fund- Retail Plan-Growth Option, 2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option, 3213.865
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option, 1075.5215
Kotak Corporate Bond Fund- Institutional Plan-Growth Option, 2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option, 3104.7705
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option, 1037.9506
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option, 1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option, 1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option, 1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option, 1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option, 1052.7994
